,timestamp,Values_Type,GeneReal
114,2022_Q1_holidays_8h,TERMICA,2896813.012
115,2022_Q1_holidays_9h,COGENERADOR,89098.062
116,2022_Q1_holidays_9h,EOLICA,20180.272
117,2022_Q1_holidays_9h,HIDRAULICA,4153626.286
118,2022_Q1_holidays_9h,SOLAR,542604.706
119,2022_Q1_holidays_9h,TERMICA,3016074.812
120,2022_Q1_labor_0h,COGENERADOR,107453.13500000001
121,2022_Q1_labor_0h,EOLICA,20177.11
122,2022_Q1_labor_0h,HIDRAULICA,5718049.053461538
123,2022_Q1_labor_0h,SOLAR,0.5173076923076922
124,2022_Q1_labor_0h,TERMICA,3265224.383846154
125,2022_Q1_labor_10h,COGENERADOR,102295.16846153846
126,2022_Q1_labor_10h,EOLICA,19160.745
127,2022_Q1_labor_10h,HIDRAULICA,5719564.445384616
128,2022_Q1_labor_10h,SOLAR,663279.9342307692
129,2022_Q1_labor_10h,TERMICA,3294322.668076923
130,2022_Q1_labor_11h,COGENERADOR,101203.47423076924
131,2022_Q1_labor_11h,EOLICA,19587.918846153847
132,2022_Q1_labor_11h,HIDRAULICA,5943604.031923076
133,2022_Q1_labor_11h,SOLAR,727235.0184615385
134,2022_Q1_labor_11h,TERMICA,3331680.6980769234
135,2022_Q1_labor_12h,COGENERADOR,101131.96115384616
136,2022_Q1_labor_12h,EOLICA,21191.533846153845
137,2022_Q1_labor_12h,HIDRAULICA,6129355.96576923
138,2022_Q1_labor_12h,SOLAR,748104.0907692307
139,2022_Q1_labor_12h,TERMICA,3394694.5434615384
140,2022_Q1_labor_13h,COGENERADOR,101421.46307692307
141,2022_Q1_labor_13h,EOLICA,24261.836923076924
142,2022_Q1_labor_13h,HIDRAULICA,6071075.947692309
143,2022_Q1_labor_13h,SOLAR,753566.0273076923
144,2022_Q1_labor_13h,TERMICA,3447683.4953846154
145,2022_Q1_labor_14h,COGENERADOR,101728.37038461538
146,2022_Q1_labor_14h,EOLICA,26480.588461538464
147,2022_Q1_labor_14h,HIDRAULICA,6115575.179615385
