load_zone,fuel,period,fuel_cost
Caribe,GASNACIO_CCS,2038,13.255201580374651
Antioquia,CARBON_CCS,2038,2.3677824258340228
Nordeste,CARBON_CCS,2038,2.3677824258340228
Oriental,CARBON_CCS,2038,2.3677824258340228
Surocciden,CARBON_CCS,2038,2.3677824258340228
Caribe,CARBON_CCS,2038,2.3677824258340228
Antioquia,GASNACIO,2043,13.931350077075162
Antioquia,GASIMPOR,2043,13.931350077075162
Antioquia,ACPM,2043,22.438105442199785
Antioquia,CARBON,2043,2.4885631260017163
Antioquia,COMBUSTOLEO,2043,25.300005113165405
Antioquia,GAS-YOPAL,2043,13.931350077075162
Antioquia,GLP,2043,31.959315348952668
Nordeste,GASNACIO,2043,13.931350077075162
Nordeste,GASIMPOR,2043,13.931350077075162
Nordeste,ACPM,2043,22.438105442199785
Nordeste,CARBON,2043,2.4885631260017163
Nordeste,COMBUSTOLEO,2043,25.300005113165405
Nordeste,GAS-YOPAL,2043,13.931350077075162
Nordeste,GLP,2043,31.959315348952668
Oriental,GASNACIO,2043,13.931350077075162
Oriental,GASIMPOR,2043,13.931350077075162
Oriental,ACPM,2043,22.438105442199785
Oriental,CARBON,2043,2.4885631260017163
Oriental,COMBUSTOLEO,2043,25.300005113165405
Oriental,GAS-YOPAL,2043,13.931350077075162
Oriental,GLP,2043,31.959315348952668
Surocciden,GASNACIO,2043,13.931350077075162
Surocciden,GASIMPOR,2043,13.931350077075162
Surocciden,ACPM,2043,22.438105442199785
Surocciden,CARBON,2043,2.4885631260017163
Surocciden,COMBUSTOLEO,2043,25.300005113165405
Surocciden,GAS-YOPAL,2043,13.931350077075162
Surocciden,GLP,2043,31.959315348952668
Caribe,GASNACIO,2043,13.931350077075162
Caribe,GASIMPOR,2043,13.931350077075162
Caribe,ACPM,2043,22.438105442199785
Caribe,CARBON,2043,2.4885631260017163
Caribe,COMBUSTOLEO,2043,25.300005113165405
Caribe,GAS-YOPAL,2043,13.931350077075162
Caribe,GLP,2043,31.959315348952668
Antioquia,GASNACIO_CCS,2043,13.931350077075162
Nordeste,GASNACIO_CCS,2043,13.931350077075162
Oriental,GASNACIO_CCS,2043,13.931350077075162
Surocciden,GASNACIO_CCS,2043,13.931350077075162
Caribe,GASNACIO_CCS,2043,13.931350077075162
Antioquia,CARBON_CCS,2043,2.4885631260017163
Nordeste,CARBON_CCS,2043,2.4885631260017163
Oriental,CARBON_CCS,2043,2.4885631260017163
Surocciden,CARBON_CCS,2043,2.4885631260017163
Caribe,CARBON_CCS,2043,2.4885631260017163
Antioquia,GASNACIO,2048,14.641988942467407
Antioquia,GASIMPOR,2048,14.641988942467407
Antioquia,ACPM,2048,23.58267432495548
Antioquia,CARBON,2048,2.6155048557360767
Antioquia,COMBUSTOLEO,2048,26.590559641518233
Antioquia,GAS-YOPAL,2048,14.641988942467407
Antioquia,GLP,2048,33.589561626064445
Nordeste,GASNACIO,2048,14.641988942467407
Nordeste,GASIMPOR,2048,14.641988942467407
Nordeste,ACPM,2048,23.58267432495548
Nordeste,CARBON,2048,2.6155048557360767
Nordeste,COMBUSTOLEO,2048,26.590559641518233
Nordeste,GAS-YOPAL,2048,14.641988942467407
Nordeste,GLP,2048,33.589561626064445
Oriental,GASNACIO,2048,14.641988942467407
Oriental,GASIMPOR,2048,14.641988942467407
Oriental,ACPM,2048,23.58267432495548
Oriental,CARBON,2048,2.6155048557360767
Oriental,COMBUSTOLEO,2048,26.590559641518233
Oriental,GAS-YOPAL,2048,14.641988942467407
Oriental,GLP,2048,33.589561626064445
Surocciden,GASNACIO,2048,14.641988942467407
Surocciden,GASIMPOR,2048,14.641988942467407
Surocciden,ACPM,2048,23.58267432495548
Surocciden,CARBON,2048,2.6155048557360767
Surocciden,COMBUSTOLEO,2048,26.590559641518233
Surocciden,GAS-YOPAL,2048,14.641988942467407
Surocciden,GLP,2048,33.589561626064445
Caribe,GASNACIO,2048,14.641988942467407
Caribe,GASIMPOR,2048,14.641988942467407
Caribe,ACPM,2048,23.58267432495548
Caribe,CARBON,2048,2.6155048557360767
Caribe,COMBUSTOLEO,2048,26.590559641518233
Caribe,GAS-YOPAL,2048,14.641988942467407
Caribe,GLP,2048,33.589561626064445
Antioquia,GASNACIO_CCS,2048,14.641988942467407
Nordeste,GASNACIO_CCS,2048,14.641988942467407
Oriental,GASNACIO_CCS,2048,14.641988942467407
Surocciden,GASNACIO_CCS,2048,14.641988942467407
Caribe,GASNACIO_CCS,2048,14.641988942467407
Antioquia,CARBON_CCS,2048,2.6155048557360767
Nordeste,CARBON_CCS,2048,2.6155048557360767
Oriental,CARBON_CCS,2048,2.6155048557360767
Surocciden,CARBON_CCS,2048,2.6155048557360767
Caribe,CARBON_CCS,2048,2.6155048557360767
Antioquia,GASNACIO,2053,15.388877531986317
Antioquia,GASIMPOR,2053,15.388877531986317
Antioquia,ACPM,2053,24.785627723763447
Antioquia,CARBON,2053,2.7489218894639675
Antioquia,COMBUSTOLEO,2053,27.94694542101912
Antioquia,GAS-YOPAL,2053,15.388877531986317
Antioquia,GLP,2053,35.30296684744703
Nordeste,GASNACIO,2053,15.388877531986317
Nordeste,GASIMPOR,2053,15.388877531986317
Nordeste,ACPM,2053,24.785627723763447
Nordeste,CARBON,2053,2.7489218894639675
Nordeste,COMBUSTOLEO,2053,27.94694542101912
Nordeste,GAS-YOPAL,2053,15.388877531986317
Nordeste,GLP,2053,35.30296684744703
Oriental,GASNACIO,2053,15.388877531986317
Oriental,GASIMPOR,2053,15.388877531986317
Oriental,ACPM,2053,24.785627723763447
Oriental,CARBON,2053,2.7489218894639675
Oriental,COMBUSTOLEO,2053,27.94694542101912
Oriental,GAS-YOPAL,2053,15.388877531986317
Oriental,GLP,2053,35.30296684744703
Surocciden,GASNACIO,2053,15.388877531986317
Surocciden,GASIMPOR,2053,15.388877531986317
Surocciden,ACPM,2053,24.785627723763447
Surocciden,CARBON,2053,2.7489218894639675
Surocciden,COMBUSTOLEO,2053,27.94694542101912
Surocciden,GAS-YOPAL,2053,15.388877531986317
