GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_baseload,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_unit_size,gen_ccs_energy_load,gen_ccs_capture_efficiency,gen_min_build_capacity,gen_is_cogen,gen_min_load_fraction,gen_startup_om,gen_storage_efficiency
T_Piedras,Thermal,Coal,Surocciden,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
T_ProencaII,Thermal,Coal,Surocciden,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
T_Reficar,Thermal,Coal,Caribe,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
T_Tequendama,Thermal,Coal,Caribe,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
T_TerBolivar,Thermal,Coal,Nordeste,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
T_TerCapacho,Thermal,Coal,Nordeste,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
T_Termotame,Thermal,Coal,Nordeste,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
T_TermYopal1,Thermal,Coal,Nordeste,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
T_UatOrito,Thermal,Coal,Surocciden,80,0,0,11,1.16,0,.,.,.,.,.,.,.,1,.,18688.0,.
TASAJERO 1,Thermal,CARBON,Nordeste,80,0,0,9.2374,8.62,0,0.0304,.,.,1,.,.,0,0,100.0,0.0872060606060606,.
TASAJERO 2,Thermal,CARBON,Nordeste,80,0,0,10.1502,8.62,0,0.0304,.,.,1,.,.,0,0,100.0,0.0850470588235294,.
TC_GECELCA3,Thermal,CARBON,Caribe,80,0,0,10.1434,8.62,0,0.0304,0.1814,.,1,.,.,0,0,100.0,0.17826829268292682,.
TC_GECELCA32,Thermal,CARBON,Caribe,80,0,0,8.699,8.62,0,0.0304,0.1814,.,1,.,.,0,0,100.0,0.1166007326007326,.
TEBSAB,Thermal,GASNACIO,Caribe,80,0,0,8.2683,5.53,0,0.0304,0.0355,.,1,.,.,0,0,100.0,0.02951580278128951,.
TEBSAGIM,Thermal,GASIMPOR,Caribe,80,0,0,8.2683,5.53,0,0.0304,.,.,1,.,.,0,0,100.0,0.02951580278128951,.
TEQUEND1-4,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
TERMO YOPAL2,Thermal,GAS-YOPAL,Nordeste,80,0,0,13.8269,5.53,0,0.0304,.,.,1,.,.,0,0,100.0,0.05075,.
TERMOCENTRO,Thermal,GASNACIO,Antioquia,80,0,0,8.4778,5.53,0,0.0304,0.1064,.,1,.,.,0,0,100.0,0.08566176470588235,.
TERMODORADA1,Thermal,ACPM,Surocciden,80,0,0,10.4674,7.08,0,0.0304,0.1814,.,1,.,.,0,0,100.0,0.21172340425531916,.
TERMODORAGAS,Thermal,GASNACIO,Surocciden,80,0,0,10.8036,5.53,0,0.0304,.,.,1,.,.,0,0,100.0,0.21172340425531916,.
TERMOEMCALI,Thermal,ACPM,Surocciden,80,0,0,7.1852,7.08,0,0.0304,.,.,1,.,.,0,0,100.0,0.2574366197183099,.
TERMOEMCGAS,Thermal,GASNACIO,Surocciden,80,0,0,7.9794,5.53,0,0.0304,.,.,1,.,.,0,0,100.0,0.2574366197183099,.
TERMONORTE,Thermal,ACPM,Caribe,80,0,0,8.4012,7.08,0,0.0304,0.6222,.,1,.,.,0,0,100.0,0.17772727272727273,.
TERMOSIERRA,Thermal,ACPM,Antioquia,80,0,0,7.1417,7.08,0,0.0304,0.199,.,1,.,.,0,0,100.0,0.2828385269121813,.
TERMOVAGAS,Thermal,GASNACIO,Surocciden,80,0,0,7.6834,5.53,0,0.0304,.,.,1,.,.,0,0,100.0,0.1839377593360996,.
TERMOVALLE,Thermal,ACPM,Surocciden,80,0,0,6.5573,7.08,0,0.0304,.,.,1,.,.,0,0,100.0,0.1839377593360996,.
TERMOYOPALG3,Thermal,GAS-YOPAL,Nordeste,80,0,0,9.7672,5.53,0,0.0304,.,.,1,.,.,0,0,100.0,0.02842,.
TERMOYOPALG4,Thermal,GAS-YOPAL,Nordeste,80,0,0,9.6528,5.53,0,0.0304,.,.,1,.,.,0,0,100.0,0.02842,.
TERMOYOPALG5,Thermal,GAS-YOPAL,Nordeste,80,0,0,9.6528,5.53,0,0.0304,.,.,1,.,.,0,0,100.0,0.02842,.
TRONERAS,Hidro,Water,Antioquia,80,0,0,.,1.39,0,0.0304,0.0112,.,.,.,.,0,0,.,.,.
TSIERRAGAS,Thermal,GASNACIO,Antioquia,80,0,0,7.5521,5.53,0,0.0304,.,.,1,.,.,0,0,100.0,0.2828385269121813,.
URRA,Hidro,Water,Caribe,80,0,0,.,1.39,0,0.0918,0.0036,.,.,.,.,0,0,.,.,.
ZIPAEMG2,Thermal,CARBON,Oriental,80,0,0,11.4401,8.62,0,0.0304,0.273,.,1,.,.,0,0,100.0,0.3168888888888889,.
ZIPAEMG3,Thermal,CARBON,Oriental,80,0,0,11.7024,8.62,0,0.0304,0.2174,.,1,.,.,0,0,100.0,0.27909523809523806,.
ZIPAEMG4,Thermal,CARBON,Oriental,80,0,0,12.9999,8.62,0,0.0304,0.2389,.,1,.,.,0,0,100.0,0.274734375,.
ZIPAEMG5,Thermal,CARBON,Oriental,80,0,0,14.0096,8.62,0,0.0304,0.1426,.,1,.,.,0,0,100.0,0.27909523809523806,.
AF_RIOCUCUA,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
AF_SNMARCOS,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
CAMPOALEGRE,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
CHINCHINA,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
CHUZA,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
COMP. ESPINO,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
DESANFRAN,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
DESV RBLANCO,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
DOLORES,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
DS_SNMARCOS,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
ESTRELLA,Hidro,Water,Surocciden,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
GUARINO,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
MANSO,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
MIRAFLORES,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
MUNA,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
NECHI,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
NEGRO,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
NEGRORUCIO,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
NEUSA,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
NIQUIA,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
PAJARITO,Hidro,Water,Antioquia,80,0,0,.,1.39,0,0.38,0.38,.,.,.,.,0,0,.,.,.
QUEBRADONA,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
RB ACHU-ESPI,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
RB ACHURY,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
RB ESPI-ALIC,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
RUCIO,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
S ACUEDU-BOG,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
SISGA,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
TENCHE,Hidro,Water,Antioquia,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
TOMINE,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
TUNEL CHUZA,Hidro,Water,Oriental,80,0,0,.,1.39,0,.,.,.,.,.,.,0,0,.,.,.
TUNJITA,Hidro,Water,Oriental,80,0,0,.,1.39,0,0.35,0.35,.,.,.,.,0,0,.,.,.
HD-ANT-CHO,Hidro,Water,Antioquia,35,0,0,.,1.39,140,0.0987,0.38,500,.,.,.,0,0,.,.,.
HD-ATLANTICO,Hidro,Water,Caribe,35,0,0,.,1.39,140,0.0987,0.38,0,.,.,.,0,0,.,.,.
HD-BOG-CUN,Hidro,Water,Nordeste,35,0,0,.,1.39,140,0.0987,0.38,0,.,.,.,0,0,.,.,.
