,timestamp,Values_Type,GeneReal
68,2023_Q1_holidays_21h,SOLAR,0.0
69,2023_Q1_holidays_21h,TERMICA,1153651.436153846
70,2023_Q1_holidays_22h,COGENERADOR,98072.74923076923
71,2023_Q1_holidays_22h,EOLICA,22784.487692307695
72,2023_Q1_holidays_22h,HIDRAULICA,7649275.916923077
73,2023_Q1_holidays_22h,SOLAR,0.0
74,2023_Q1_holidays_22h,TERMICA,1141278.2538461538
75,2023_Q1_holidays_23h,COGENERADOR,96860.00076923077
76,2023_Q1_holidays_23h,EOLICA,21931.21307692308
77,2023_Q1_holidays_23h,HIDRAULICA,7269596.091538461
78,2023_Q1_holidays_23h,SOLAR,0.0
79,2023_Q1_holidays_23h,TERMICA,1130098.713846154
80,2023_Q1_holidays_2h,COGENERADOR,106403.60230769232
81,2023_Q1_holidays_2h,EOLICA,18509.23769230769
82,2023_Q1_holidays_2h,HIDRAULICA,6326569.187692308
83,2023_Q1_holidays_2h,SOLAR,0.0
84,2023_Q1_holidays_2h,TERMICA,1177729.59
85,2023_Q1_holidays_3h,COGENERADOR,106861.92461538462
86,2023_Q1_holidays_3h,EOLICA,17932.244615384614
87,2023_Q1_holidays_3h,HIDRAULICA,6177064.570769231
88,2023_Q1_holidays_3h,SOLAR,0.0
89,2023_Q1_holidays_3h,TERMICA,1113932.74
