,Date,DemaReal_Sistema,DemaCome_Sistema,Gene_Sistema,GeneIdea_Sistema,timestamp
4414,2023-06-02 22:00:00,9774592.12,9925972.94,9787641.93,9787641.93,2023_Q3_labor_22h
4415,2023-06-02 23:00:00,9203438.1,9352838.81,9089557.42,9089557.42,2023_Q3_labor_23h
4416,2023-06-03 00:00:00,8399690.3,8565743.52,8478893.52,8478893.52,2023_Q3_labor_0h
4417,2023-06-03 01:00:00,8217763.63,8376208.51,8176331.22,8261208.51,2023_Q3_labor_1h
4418,2023-06-03 02:00:00,7863468.93,8014203.65,7926415.9,8014203.65,2023_Q3_labor_2h
4419,2023-06-03 03:00:00,7676662.66,7812390.42,7810873.47,7812390.42,2023_Q3_labor_3h
4420,2023-06-03 04:00:00,7553729.94,7689206.96,7687968.2,7689206.96,2023_Q3_labor_4h
4421,2023-06-03 05:00:00,7582916.48,7715883.1,7715883.1,7715883.1,2023_Q3_labor_5h
4422,2023-06-03 06:00:00,7651565.11,7776990.3,7595871.64,7776990.3,2023_Q3_labor_6h
4423,2023-06-03 07:00:00,7807093.97,7987149.89,7985144.49,7987149.89,2023_Q3_labor_7h
4424,2023-06-03 08:00:00,8423253.54,8559399.04,8400792.48,8559399.04,2023_Q3_labor_8h
4425,2023-06-03 09:00:00,8972645.95,9114597.29,9103964.49,9114597.29,2023_Q3_labor_9h
4426,2023-06-03 10:00:00,9375033.3,9520915.29,9520915.29,9520915.29,2023_Q3_labor_10h
4427,2023-06-03 11:00:00,9674176.84,9807045.24,9803961.5,9807045.24,2023_Q3_labor_11h
4428,2023-06-03 12:00:00,9906035.41,10059961.28,10059961.28,10059961.28,2023_Q3_labor_12h
4429,2023-06-03 13:00:00,9799346.99,9946582.29,9946582.29,9946582.29,2023_Q3_labor_13h
4430,2023-06-03 14:00:00,9639826.7,9797608.97,9797608.97,9797608.97,2023_Q3_labor_14h
4431,2023-06-03 15:00:00,9602499.62,9758272.03,9756466.62,9758272.03,2023_Q3_labor_15h
4432,2023-06-03 16:00:00,9616541.68,9737708.51,9736585.53,9737708.51,2023_Q3_labor_16h
4433,2023-06-03 17:00:00,9526892.88,9677634.72,9676032.75,9677634.72,2023_Q3_labor_17h
4434,2023-06-03 18:00:00,9434247.18,9581202.79,9581202.79,9581202.79,2023_Q3_labor_18h
4435,2023-06-03 19:00:00,9883255.93,10040295.69,10040295.69,10040295.69,2023_Q3_labor_19h
4436,2023-06-03 20:00:00,10086388.13,10242323.71,10238915.79,10242323.71,2023_Q3_labor_20h
4437,2023-06-03 21:00:00,9848714.85,10008644.43,10007386.05,10008644.43,2023_Q3_labor_21h
4438,2023-06-03 22:00:00,9408727.48,9577340.06,9577340.06,9577340.06,2023_Q3_labor_22h
4439,2023-06-03 23:00:00,8875686.26,9035224.68,9033504.92,9035224.68,2023_Q3_labor_23h
4440,2023-06-04 00:00:00,7781165.57,7898371.68,7897335.75,7898371.68,2023_Q3_holidays_0h
4441,2023-06-04 01:00:00,7975989.13,8139385.61,8139385.61,8139385.61,2023_Q3_holidays_1h
4442,2023-06-04 02:00:00,7671811.56,7838088.98,7836756.84,7838088.98,2023_Q3_holidays_2h
4443,2023-06-04 03:00:00,7440833.8,7602968.3,7602834.62,7602968.3,2023_Q3_holidays_3h
4444,2023-06-04 04:00:00,7264580.32,7420758.01,7420758.01,7420758.01,2023_Q3_holidays_4h
4445,2023-06-04 05:00:00,7166152.39,7320385.05,7320385.05,7320385.05,2023_Q3_holidays_5h
4446,2023-06-04 06:00:00,7014812.27,7162189.15,7160769.18,7162189.15,2023_Q3_holidays_6h
4447,2023-06-04 07:00:00,6896521.95,7036696.14,7031039.88,7036696.14,2023_Q3_holidays_7h
4448,2023-06-04 08:00:00,7193628.01,7333800.6,7333800.6,7333800.6,2023_Q3_holidays_8h
4449,2023-06-04 09:00:00,7550950.38,7707250.14,7707250.14,7707250.14,2023_Q3_holidays_9h
4450,2023-06-04 10:00:00,7844451.53,8023007.5,8023007.5,8023007.5,2023_Q3_holidays_10h
4451,2023-06-04 11:00:00,7991767.3,8163206.97,8163206.97,8163206.97,2023_Q3_holidays_11h
4452,2023-06-04 12:00:00,7994460.72,8089532.25,8089004.28,8089532.25,2023_Q3_holidays_12h
4453,2023-06-04 13:00:00,8123989.41,8274011.27,8273602.87,8274011.27,2023_Q3_holidays_13h
4454,2023-06-04 14:00:00,8170529.82,8312275.23,8311888.36,8312275.23,2023_Q3_holidays_14h
4455,2023-06-04 15:00:00,8055462.07,8192265.03,8191109.68,8192265.03,2023_Q3_holidays_15h
4456,2023-06-04 16:00:00,7990923.34,8121977.71,8121977.71,8121977.71,2023_Q3_holidays_16h
4457,2023-06-04 17:00:00,7963657.92,8088659.02,8088659.02,8088659.02,2023_Q3_holidays_17h
4458,2023-06-04 18:00:00,7988742.34,8109242.75,8108174.93,8109242.75,2023_Q3_holidays_18h
4459,2023-06-04 19:00:00,8720999.76,8826071.83,8826071.83,8826071.83,2023_Q3_holidays_19h
4460,2023-06-04 20:00:00,9093461.98,9208504.63,9205990.88,9208504.63,2023_Q3_holidays_20h
4461,2023-06-04 21:00:00,8992414.47,9113135.86,9109916.34,9113135.86,2023_Q3_holidays_21h
4462,2023-06-04 22:00:00,8704476.06,8835015.83,8830859.69,8835015.83,2023_Q3_holidays_22h
4463,2023-06-04 23:00:00,8244592.15,8378843.02,8378777.25,8378843.02,2023_Q3_holidays_23h
4464,2023-06-05 00:00:00,8460592.03,8618512.73,8499305.74,8618512.73,2023_Q3_labor_0h
4465,2023-06-05 01:00:00,7437812.93,7546004.93,7546004.93,7546004.93,2023_Q3_labor_1h
4466,2023-06-05 02:00:00,7167822.07,7303705.42,7303215.55,7303705.42,2023_Q3_labor_2h
4467,2023-06-05 03:00:00,6998988.01,7142026.45,7141861.12,7142026.45,2023_Q3_labor_3h
4468,2023-06-05 04:00:00,6950506.68,7073219.77,7073219.77,7073219.77,2023_Q3_labor_4h
4469,2023-06-05 05:00:00,7187738.83,7284244.69,7284244.69,7284244.69,2023_Q3_labor_5h
4470,2023-06-05 06:00:00,7656052.23,7753875.64,7753875.64,7753875.64,2023_Q3_labor_6h
4471,2023-06-05 07:00:00,7856016.1,7955731.58,7952898.44,7955731.58,2023_Q3_labor_7h
4472,2023-06-05 08:00:00,8406298.01,8511510.74,8483941.51,8511510.74,2023_Q3_labor_8h
4473,2023-06-05 09:00:00,8951532.55,9074464.15,8976153.89,8976153.89,2023_Q3_labor_9h
4474,2023-06-05 10:00:00,9263423.54,9394039.08,9340101.13,9344039.08,2023_Q3_labor_10h
4475,2023-06-05 11:00:00,9656946.92,9796768.65,9791596.52,9796768.65,2023_Q3_labor_11h
4476,2023-06-05 12:00:00,9945462.76,10089488.75,10088097.37,10089488.75,2023_Q3_labor_12h
4477,2023-06-05 13:00:00,9894876.88,10043466.86,10043466.86,10043466.86,2023_Q3_labor_13h
4478,2023-06-05 14:00:00,9986760.6,10135815.78,10135815.78,10135815.78,2023_Q3_labor_14h
4479,2023-06-05 15:00:00,10179838.29,10336043.05,10335383.4,10336043.05,2023_Q3_labor_15h
4480,2023-06-05 16:00:00,10209499.27,10371522.88,10369063.58,10371522.88,2023_Q3_labor_16h
