,Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
23,Sistema,Sistema,8059385.22,7763639.04,7515799.91,7314259.69,7252226.63,7097752.59,6978274.64,7217965.1,7772511.13,8057025.85,8321344.59,8554382.47,8621070.41,8501281.92,8564595.42,8604517.3,8581508.34,8878033.68,9553456.18,9572279.17,9206084.94,8883405.81,8485347.91,7986022.48,2023-11-19
24,Sistema,Sistema,7671089.64,7486867.72,7467009.84,7538296.25,7735937.57,8102151.8,8450005.21,9000002.59,9536597.96,9883599.51,10225617.96,10454611.77,10490425.57,10602051.08,10657276.5,10654623.55,10583435.46,10573556.21,10853114.94,10721281.55,10516675.65,10106929.42,9436098.38,8814861.67,2023-11-20
25,Sistema,Sistema,8328228.27,8079418.44,7906762.31,7799099.47,7972592.58,8433500.7,8723895.64,9270770.25,9679047.09,9985572.3,10252940.18,10449919.83,10504731.65,10590642.94,10793219.94,10826274.07,10668566.87,10659443.38,11245714.24,11110063.14,10740310.14,10270829.21,9658961.58,9019261.15,2023-11-21
26,Sistema,Sistema,8602124.01,8224866.28,7942070.17,7816451.6,7961826.78,8287980.07,8567790.32,9284042.91,9755408.62,10073661.61,10307938.24,10514675.67,10511800.87,10558937.24,10686507.11,10648051.44,10588992.92,10526095.49,11022727.44,10936449.1,10760379.04,10338929.1,9677651.63,9076922.15,2023-11-22
27,Sistema,Sistema,8634895.92,8305530.18,8030892.23,7965415.04,8096528.09,8396615.75,8689704.95,9350770.96,9838653.88,10181271.78,10562482.36,10885785.03,10825508.2,10942955.29,11102331.88,11064107.07,10910537.27,10678302.41,11101200.45,10984893.35,10793015.32,10452148.6,9894377.41,9359965.83,2023-11-23
28,Sistema,Sistema,8777047.92,8355236.85,8038612.75,7927120.64,8087570.62,8358472.77,8608977.41,9221576.55,9747387.46,10045749.24,10345598.35,10631554.02,10675042.66,10740141.81,10798024.53,10731432.34,10574268.43,10507778.61,11018005.62,10937723.49,10761865.9,10189870.17,9557506.54,8963056.05,2023-11-24
29,Sistema,Sistema,8372307.34,8038110.52,7797064.08,7700569.89,7676645.11,7814613.22,8011514.49,8517982.13,8980397.58,9378696.15,9637612.79,9837713.71,9769852.56,9647433.2,9543549.71,9434823.14,9346617.77,9457525.35,10057056.52,9960613.1,9692537.21,9292998.57,8816998.87,8366574.91,2023-11-25
0,Sistema,Sistema,9030597.25,8734434.23,8520084.13,8445169.41,8586741.79,8983636.62,9186703.02,9709675.75,10137169.54,10410523.07,10826889.83,11109023.35,11064769.75,11197272.24,11422950.99,11414887.38,11246017.61,10967322.33,11466428.1,11530718.52,11329843.59,10880085.57,10203170.41,9587507.51,2023-09-27
1,Sistema,Sistema,9090891.32,8794918.02,8523410.82,8407157.57,8515876.15,8935726.65,9091795.09,9587516.48,10032987.81,10366504.6,10650921.9,10902968.16,10862287.21,10994158.06,11155015.76,11200292.96,11021945.91,10728281.45,11246686.9,11271209.08,11065409.42,10597863.41,9816098.71,9267687.3,2023-09-28
2,Sistema,Sistema,8790750.96,8487102.78,8278373.95,8163885.81,8296409.02,8659672.71,8855221.83,9356186.03,9920782.96,10280411.74,10690805.24,10986022.25,10938037.75,11041175.14,11255598.7,11213246.66,10976693.96,10705255.67,11267874.51,11253042.1,11146655.8,10717818.23,10137359.01,9588807.2,2023-09-29
3,Sistema,Sistema,9055941.31,8722627.14,8511988.62,8363172.69,8465202.28,8538661.68,8761762.23,9270807.3,9890394.73,10276187.77,10542873.91,10713909.0,10700371.22,10582742.56,10478036.8,10415966.49,10297493.05,10308556.94,10934687.12,10856409.56,10551356.69,10181475.16,9712457.13,9235559.34,2023-09-30
4,Sistema,Sistema,8800739.65,8470035.76,8260958.99,8094043.75,7949218.4,7789602.52,7623060.49,7934517.44,8270743.25,8605806.9,8911924.01,9179019.7,9337994.98,9386423.85,9268435.93,9156588.16,9051316.52,9153215.5,9958383.5,10146491.83,10091200.53,9843679.22,9446297.56,8983761.76,2023-10-01
5,Sistema,Sistema,8619724.27,8346810.15,8176611.75,8107600.22,8277494.02,8668119.77,8858310.01,9389877.38,9815411.98,10185426.54,10619510.48,10914287.53,10741705.81,10841767.91,10982367.72,11001687.69,10872285.24,10691354.61,11133626.01,11148359.31,10927389.06,10420865.99,9816489.86,9202002.94,2023-10-02
6,Sistema,Sistema,8790487.29,8507040.33,8330194.49,8236597.29,8414618.29,8725439.35,8844166.71,9268778.64,9744678.89,10052036.99,10385047.43,10681255.0,10628928.6,10763362.31,10875178.31,10852160.52,10746658.3,10508608.17,11006659.07,11021297.18,10804404.15,10394461.85,9729271.83,9132390.24,2023-10-03
7,Sistema,Sistema,8643606.22,8331700.16,8124282.8,8005071.67,8145971.33,8610805.71,8749702.05,9197046.8,9612693.16,9801663.7,10032893.05,10354683.69,10237199.1,10361141.08,10710490.64,10690892.93,10596994.75,10446618.59,11061771.13,11103623.22,10880565.13,10403238.88,9773182.73,9169239.6,2023-10-04
8,Sistema,Sistema,8732663.03,8443734.62,8260816.02,8178168.93,8377784.66,8629387.16,8822091.22,9260472.48,9702919.52,10068904.2,10448733.64,10722754.44,10671176.26,10786962.31,11059278.43,11048466.83,10843735.78,10671183.42,11178324.57,11143039.38,10891027.2,10365980.36,9663245.0,9123668.19,2023-10-05
9,Sistema,Sistema,8660148.65,8357979.45,8182165.92,8126436.85,8276010.76,8526316.27,8748157.97,9219847.81,9703493.41,9989388.35,10394281.95,10646597.81,10630861.44,10604898.75,10735006.07,10751652.53,10595345.93,10447778.0,10928243.19,10910797.21,10717511.86,10289554.15,9732089.64,9163255.48,2023-10-06
10,Sistema,Sistema,8573145.72,8416281.57,8228753.53,8091578.35,8085690.84,8092618.54,8282731.62,8801787.17,9356919.16,9776406.07,10145518.73,10413917.67,10374373.51,10293672.06,10190219.6,10076524.56,9866199.11,9837337.73,10427950.42,10352281.75,9941786.03,9558436.58,9123012.36,8672289.39,2023-10-07
11,Sistema,Sistema,8353377.49,8106095.21,7911672.47,7717461.16,7564823.42,7428819.27,7210993.26,7522497.79,8000187.43,8205608.88,8496993.83,8691766.83,8671969.83,8604043.76,8435636.7,8376782.82,8388145.67,8573316.96,9400256.47,9555628.23,9482692.47,9220297.84,8773290.6,8333754.44,2023-10-08
12,Sistema,Sistema,7987021.02,7723023.33,7572741.22,7518527.11,7685885.79,7911386.35,8288684.3,8985100.73,9603818.21,9954078.95,10380678.98,10716686.29,10715306.78,10752442.11,10868511.96,10861090.9,10731294.95,10458143.32,10912668.3,10898443.43,10611437.98,10203989.9,9613269.62,9012299.55,2023-10-09
13,Sistema,Sistema,8544390.81,8273653.09,8104411.37,7995468.23,8110287.67,8300215.17,8564966.84,9252543.15,9848674.7,10161427.62,10558005.85,10841837.96,10743353.34,10820950.97,10935963.45,10962479.62,10779871.4,10603901.37,11108226.44,11089732.4,10838768.37,10368512.77,9566991.43,8915190.39,2023-10-10
