hydro_project,timeseries,hydro_avg_flow_mw,hydro_min_flow_mw
H_AutGold,2023_Q4_holidays,0.205425,0.00055
H_AutGold,2023_Q4_labor,0.11577499999999999,0.00055
H_Ayura,2023_Q1_holidays,11.484,5.313
H_Ayura,2023_Q1_labor,12.353,0.011
H_Ayura,2023_Q2_holidays,12.441,1.309
H_Ayura,2023_Q2_labor,12.529,0.033
H_Ayura,2023_Q3_holidays,12.122,0.297
H_Ayura,2023_Q3_labor,12.683,0.033
H_Ayura,2023_Q4_holidays,12.3035,0.11
H_Ayura,2023_Q4_labor,12.738,0.077
H_Barrancas,2023_Q1_holidays,2.394,0.01382
H_Barrancas,2023_Q1_labor,2.443,0.00975
H_Barrancas,2023_Q2_holidays,1.958,0.05079
H_Barrancas,2023_Q2_labor,1.91,0.001
H_Barrancas,2023_Q3_holidays,2.84,0.41184
H_Barrancas,2023_Q3_labor,2.7030000000000003,0.027809999999999998
H_Barrancas,2023_Q4_holidays,2.4675000000000002,0.12985
H_Barrancas,2023_Q4_labor,2.2565,0.03179
H_Bayona,2023_Q1_holidays,0.36126,0.0015300000000000001
H_Bayona,2023_Q1_labor,0.35924,0.00063
H_Bayona,2023_Q2_holidays,0.37201999999999996,0.02052
H_Bayona,2023_Q2_labor,0.36878,0.00054
H_Bayona,2023_Q3_holidays,0.67811,0.00158
H_Bayona,2023_Q3_labor,0.6858500000000001,8.999999999999999e-05
H_Bayona,2023_Q4_holidays,0.46669499999999997,0.01067
H_Bayona,2023_Q4_labor,0.494505,0.00017999999999999998
H_Bello,2023_Q1_holidays,0.2442,0.0264
H_Bello,2023_Q1_labor,0.2442,0.0132
H_Bello,2023_Q2_holidays,0.2508,0.0264
H_Bello,2023_Q2_labor,0.2508,0.0066
H_Bello,2023_Q3_holidays,0.2442,0.033
H_Bello,2023_Q3_labor,0.2442,0.0066
H_Bello,2023_Q4_holidays,0.2376,0.0528
H_Bello,2023_Q4_labor,0.231,0.0066
