LOAD_ZONE,timepoints,zone_demand_mw
Nordeste,355,1192.5506917948717
Oriental,355,2669.100773076923
Surocciden,354,2259.5935375641025
Nordeste,354,1200.0301788461538
Caribe,354,2994.8467208974357
Antioquia,354,1362.028798974359
Oriental,354,2685.840945
Caribe,353,3030.7867251282055
Nordeste,353,1214.4312792307692
Antioquia,353,1378.3739825641026
Surocciden,353,2286.710051282051
Oriental,353,2718.0726891025643
Surocciden,352,2293.2044460256407
Oriental,352,2725.7921801282055
Caribe,352,3039.3943435897436
Antioquia,352,1382.288648205128
Nordeste,352,1217.8803380769232
Oriental,351,2706.140767820513
Caribe,351,3017.482037051282
Antioquia,351,1372.323132820513
Nordeste,351,1209.1001130769232
Surocciden,351,2276.6717453846154
Surocciden,350,2265.701062948718
Antioquia,350,1365.710267948718
Caribe,350,3002.9415855128204
Nordeste,350,1203.2737775641024
Oriental,350,2693.100587435897
Oriental,349,2697.3715721794874
Caribe,349,3007.703946538462
Antioquia,349,1367.876145897436
Surocciden,349,2269.2942356410254
Nordeste,349,1205.1820476923078
Surocciden,348,2211.7921826923075
Caribe,348,2931.4911987179485
Oriental,348,2629.0223914102567
Nordeste,348,1174.6437246153846
Antioquia,348,1333.2152887179489
Antioquia,347,1286.5700374358976
Nordeste,347,1133.546423076923
Caribe,347,2828.9270114102565
Surocciden,347,2134.408130769231
Oriental,347,2537.0406912820513
Nordeste,346,1093.3615203846155
Antioquia,346,1240.9603571794873
Caribe,346,2728.6398505128204
Oriental,346,2447.1010757692306
Surocciden,346,2058.7420816666668
Surocciden,345,1949.2821732051282
Oriental,345,2316.9927632051285
Nordeste,345,1035.2292998717949
Caribe,345,2583.562586794872
Antioquia,345,1174.9805493589743
Antioquia,344,1109.1016093589742
Surocciden,344,1839.9896024358973
Oriental,344,2187.083353974359
Nordeste,344,977.185947051282
Caribe,344,2438.7071114102564
Caribe,343,2399.516848589744
Antioquia,343,1091.2782367948719
Surocciden,343,1810.4207884615385
Nordeste,343,961.4824735897436
Oriental,343,2151.936708717949
Oriental,342,2094.4408485897434
Antioquia,342,1062.1212537179488
Caribe,342,2335.4060934615386
Surocciden,342,1762.0496165384616
Nordeste,342,935.7933988461539
Nordeste,341,925.0173073076922
Antioquia,341,1049.8904396153846
Oriental,341,2070.322399871795
Surocciden,341,1741.7588056410257
Caribe,341,2308.5128194871795
Oriental,340,2101.1451515384615
Nordeste,340,938.7888723076924
Antioquia,340,1065.521103076923
Surocciden,340,1767.6899355128205
Caribe,340,2342.8817253846155
Antioquia,339,1093.0423032051283
Caribe,339,2403.3956992307694
Nordeste,339,963.0367225641024
