Id,Values_code,Values_MarketType,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Agente,TENC,REGULADO,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,2024-04-30
Agente,TPLC,REGULADO,706.76,666.03,637.42,660.56,751.88,854.24,897.43,687.03,717.43,685.91,617.61,636.91,614.43,602.24,668.33,748.58,825.29,1121.3,1180.3,1124.8,1039.8,949.11,849.34,738.63,2024-04-30
Agente,GAPC,NO REGULADO,,,,,,,22.34,1116.88,1645.9,1784.31,1952.26,1857.56,1838.78,1863.9,1850.04,1763.65,1354.15,187.55,,,,,,,2024-05-01
Agente,TPLC,NO REGULADO,,,,,,,1265.13,1562.22,1629.63,1658.52,1658.61,1649.7,1644.39,1623.69,1539.63,1257.48,460.39,,,,,,,,2024-05-01
Agente,BIAC,REGULADO,29539.72,29539.72,29539.72,29539.72,29539.72,29539.72,29539.72,29539.72,29539.72,29539.72,29539.72,29539.72,29539.72,29539.72,29539.72,29539.72,29539.72,29539.72,29539.72,29539.72,29539.72,29539.72,29539.72,29539.72,2024-05-01
Agente,CASC,REGULADO,32040.0,32040.0,32040.0,32040.0,32040.0,32040.0,32040.0,32007.5,32007.5,32007.5,32007.5,32007.5,32007.5,32007.5,32007.5,32007.5,32007.5,28790.0,28790.0,28790.0,28790.0,28790.0,28790.0,28790.0,2024-05-01
Agente,CDNC,REGULADO,72560.1,71500.94,71064.23,71174.76,79668.53,82010.84,85592.47,95431.18,95602.16,95069.49,95214.28,95461.71,89599.26,80805.5,80806.96,88795.61,89681.16,91370.79,95340.86,97909.68,95457.23,92794.06,83236.77,81464.48,2024-05-01
Agente,CEOC,REGULADO,41455.95,40133.98,39380.88,39039.84,39557.53,41155.92,42483.67,43469.59,44657.23,45621.55,46679.13,47770.16,48035.05,47191.09,46663.87,46832.33,47311.47,48800.69,54094.13,56862.32,54262.25,49980.11,45642.74,42232.63,2024-05-01
Agente,CHCC,REGULADO,20497.72,18731.71,17903.03,17500.7,18015.7,18670.14,20505.26,23021.91,25265.7,27782.35,30548.76,32651.79,33221.25,32425.69,31301.25,30781.69,30203.63,41411.62,45324.17,48424.19,46242.0,42796.49,35247.29,28495.62,2024-05-01
Agente,CMMC,REGULADO,274654.34,263158.1,253051.01,242504.18,234380.72,218149.1,213152.23,181799.84,182046.54,184463.31,189020.45,195848.75,198487.26,200436.24,206517.01,204062.52,199927.6,262276.27,276174.31,291999.3,306695.15,314673.59,311819.39,300928.44,2024-05-01
Agente,CNSC,REGULADO,90668.09,87344.59,84031.9,81554.34,80472.19,77924.69,78248.18,78226.37,79321.76,80390.46,81678.56,82574.15,82758.37,85039.82,86807.33,86462.41,85683.56,82827.94,90951.45,97070.26,98791.48,100433.47,98352.8,94884.08,2024-05-01
