Id,Values_code,Values_MarketType,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
MercadoComercializacion,BOGOTA - CUNDINAMARCA,REGULADO,919143.76,881104.03,860461.33,878278.87,1020560.0,1248080.85,1301547.18,1404453.38,1486790.18,1537850.78,1596668.94,1640262.13,1631523.35,1606481.33,1615939.61,1600684.34,1554186.87,1517999.83,1629644.2,1628606.09,1547943.0,1402423.74,1216565.27,1078552.81,2024-04-30
MercadoComercializacion,BOYACA,NO REGULADO,329041.17,314259.5,320281.05,299947.2,315511.93,313979.84,308956.36,317377.98,314132.16,305322.73,298792.3,296362.63,292979.38,288110.25,309858.25,311564.02,323083.59,326142.03,320156.82,329483.89,342618.58,332983.8,328042.98,312604.51,2024-04-30
MercadoComercializacion,BOYACA,REGULADO,74374.81,71093.95,68895.34,69881.58,76177.56,96174.0,120765.02,122600.05,127750.66,130060.92,134120.86,135084.57,130702.23,127687.27,130658.24,130195.52,128914.2,125877.71,133349.02,132522.71,122257.91,112551.02,96511.76,83672.34,2024-04-30
MercadoComercializacion,CALDAS,NO REGULADO,72359.5,69798.45,69489.76,74664.88,75194.22,72521.57,69232.53,64042.44,66899.71,65945.08,67716.23,68390.46,81380.91,80628.49,80994.93,78849.63,78060.37,80020.16,79957.97,79737.55,78546.17,74234.67,71498.8,72171.22,2024-04-30
MercadoComercializacion,CALDAS,REGULADO,91976.4,85573.41,83600.92,82375.84,88507.68,106832.1,118172.09,123358.58,127576.41,134277.32,143749.49,151315.25,149859.21,144877.51,145704.27,141551.71,142763.45,144278.91,160572.37,163106.46,155267.03,142652.15,122862.88,105870.73,2024-04-30
MercadoComercializacion,CALI - YUMBO - PUERTO TEJADA,NO REGULADO,178846.63,175856.7,175737.48,175467.65,177204.22,179033.19,171193.67,189312.83,202291.88,206240.75,206640.18,212370.49,214347.83,209041.48,216985.45,206319.09,204562.95,190603.57,200793.59,198135.49,188816.63,172122.12,160448.57,155876.18,2024-04-30
MercadoComercializacion,CALI - YUMBO - PUERTO TEJADA,REGULADO,242252.67,225685.1,217384.33,213915.03,215965.82,237822.17,261916.79,296071.3,338859.68,371723.39,403766.38,428336.93,427883.63,422681.56,422670.83,409923.61,395049.93,369353.95,359222.75,359076.46,350308.58,329480.9,297771.52,268428.32,2024-04-30
MercadoComercializacion,CAQUETA,NO REGULADO,662.75,651.8,633.03,614.39,616.28,584.58,656.45,687.33,763.33,831.75,1118.41,1231.71,1301.03,1305.41,1347.27,1372.48,1319.22,1069.9,1347.22,1339.43,976.48,759.81,741.74,631.15,2024-04-30
MercadoComercializacion,CAQUETA,REGULADO,30493.69,28834.89,27981.85,27481.18,27604.24,29027.52,30082.31,34103.19,39289.33,42732.8,46053.62,49168.44,47543.87,47887.49,50917.64,51690.45,50333.28,48396.02,50257.29,50040.52,47236.95,43163.25,38632.81,33686.67,2024-04-30
MercadoComercializacion,CARIBE MAR,NO REGULADO,399012.79,400909.46,408120.38,405484.3,401967.84,396899.32,374877.56,386234.58,400953.49,415073.01,424632.07,427697.47,417233.87,434937.2,429115.41,365610.47,401967.01,410827.98,440585.12,405136.98,418607.61,404915.77,395576.45,380984.81,2024-04-30
MercadoComercializacion,CARIBE MAR,REGULADO,1077480.99,1023876.05,988053.45,953734.9,919524.51,858472.75,801816.44,814521.49,863807.16,893099.26,954697.23,999739.95,1022481.29,1083993.65,1126847.83,1106556.93,1045720.5,991373.14,1024583.74,1101410.94,1143322.57,1191103.53,1204365.8,1163886.51,2024-04-30
MercadoComercializacion,CARIBE SOL,NO REGULADO,208228.63,208303.18,206781.22,208242.22,206941.54,211526.14,210381.1,232636.8,249256.25,260994.36,263688.58,269587.01,263705.54,266258.19,262191.89,258623.51,259465.15,252122.9,265601.36,255419.6,243642.18,227458.01,216985.75,204352.55,2024-04-30
MercadoComercializacion,CARIBE SOL,REGULADO,1071522.31,1025837.89,992743.56,963928.22,934376.28,870585.14,826792.29,860295.16,880919.63,916386.41,952601.64,991068.77,1007713.0,1070632.85,1105650.18,1088886.88,1091570.28,1034231.06,1035904.85,1089196.86,1131652.15,1170245.03,1185915.94,1156079.85,2024-04-30
MercadoComercializacion,CARTAGO,NO REGULADO,6827.54,7620.83,7363.66,7733.18,8245.31,7998.71,7328.73,7920.94,7724.46,6685.18,6278.6,5590.4,5608.56,6050.57,6827.22,7490.52,7389.08,7145.72,7117.58,7072.15,7061.95,6161.5,5942.3,5315.8,2024-04-30
MercadoComercializacion,CARTAGO,REGULADO,13457.93,12575.12,12094.25,11937.2,12135.57,13145.14,13318.88,14669.92,16493.06,18570.68,19412.71,21472.81,20611.92,20881.88,23141.37,23208.05,21503.02,21190.15,21797.27,21409.14,20435.49,19192.58,17399.75,15384.8,2024-04-30
MercadoComercializacion,CASANARE,NO REGULADO,8799.93,8951.49,8768.76,8138.23,7218.88,6183.07,6704.74,7207.97,8654.35,9394.04,10346.09,10350.28,9513.56,10387.64,10624.19,9716.96,9454.01,8305.82,8435.33,8090.1,8659.31,8686.91,8216.78,7727.41,2024-04-30
MercadoComercializacion,CASANARE,REGULADO,54893.47,53984.25,54769.62,53792.91,53165.19,51727.22,51220.25,57875.02,65257.95,70955.04,75224.03,77577.04,72513.11,76059.86,81073.34,80587.44,76429.25,72769.07,77783.83,78208.96,77058.1,72791.32,69455.2,64709.64,2024-04-30
MercadoComercializacion,CAUCA,NO REGULADO,37477.77,37246.17,37110.33,36904.41,36035.61,36244.19,35484.52,37498.92,35381.23,32465.51,32157.75,32892.62,34996.25,36946.96,37426.27,41363.91,40914.79,39172.93,40199.62,40214.62,39902.4,38237.11,34828.56,33717.31,2024-04-30
MercadoComercializacion,CAUCA,REGULADO,56620.73,54548.36,53259.56,53413.03,58444.19,72613.32,81892.43,78698.81,81167.3,82339.43,90566.16,94874.96,92883.64,92601.45,90077.83,94050.9,96894.43,99719.28,111152.71,113418.39,105979.48,93676.61,76859.77,65881.59,2024-04-30
MercadoComercializacion,CHOCO,NO REGULADO,2385.49,2269.8,2193.54,2056.99,1922.36,1917.34,2013.03,2170.6,2217.0,2144.12,2142.87,2355.47,2291.88,2292.97,2573.08,2506.67,2507.15,2484.17,2478.04,2533.11,2530.62,2440.48,2542.2,2482.63,2024-04-30
MercadoComercializacion,CHOCO,REGULADO,26558.7,25329.89,24544.74,24085.34,24085.71,25385.09,26394.47,28217.97,30340.24,32058.14,33386.64,35193.35,35167.32,35626.26,36741.58,33619.1,36500.36,35578.37,36224.68,37631.83,37618.93,35499.72,32032.75,29364.07,2024-04-30
MercadoComercializacion,GUAVIARE,REGULADO,8895.99,8519.37,8280.89,8130.13,8063.01,8205.99,8445.86,9416.76,10675.9,11472.69,12045.6,12625.85,12608.05,12912.59,13475.65,13394.89,11873.3,11627.95,11941.8,11850.77,11320.69,10638.07,9661.16,8948.57,2024-04-30
MercadoComercializacion,HUILA,NO REGULADO,40575.05,40742.09,40444.38,40500.97,39526.05,38215.93,38100.55,35206.31,28170.84,29938.75,29011.02,28414.44,26902.55,27629.05,28003.35,32027.45,40707.16,42969.98,44212.92,43998.25,42953.47,41826.19,40426.41,39572.47,2024-04-30
MercadoComercializacion,HUILA,REGULADO,95329.15,90318.65,86533.55,83505.44,84424.53,93285.92,99121.18,107986.76,115224.06,121006.96,132146.12,139442.89,133105.17,137742.61,146974.81,147534.05,145890.24,140404.38,148572.35,149356.39,142362.05,131766.74,118119.49,105750.81,2024-04-30
