Id,Values_Name,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
RecursoComb,2YB9,GAS,25.40368,25.48096,25.51983,25.52154,25.52287,25.52525,25.53415,22.58714,17.98146,17.5916,12.57233,12.22082,16.23222,15.32945,16.64796,17.08492,16.63387,17.50082,16.52009,16.91477,17.53345,17.50846,17.78238,17.7197,2024-04-30
RecursoComb,2YWY,GAS,0.14035,0.14176,0.12796,0.1126,,,,,,,,0.09315,0.16011,0.11714,0.2462,0.33434,0.21563,0.29466,0.16623,0.1151,0.0988,0.13188,0.5462,0.41447,2024-04-30
RecursoComb,3ADA,BIOGAS,0.15013,2.10179,4.50384,5.95513,7.35627,9.45806,11.78505,19.69185,17.64004,12.16037,10.08365,6.98095,3.12761,0.50037,0.60051,0.04999,,,,,,,,,2024-04-30
RecursoComb,3AL6,BIOGAS,,,,,,,,,,,,,,,,,,0.00136,,,,,,,2024-04-30
RecursoComb,3AXV,BAGAZO,11.91982,8.39352,6.53057,8.42423,7.58488,9.97498,6.52545,2.97356,3.81803,4.79557,8.39352,7.4211,13.88002,7.50299,5.46602,3.9511,1.98067,2.10862,17.63663,13.9619,11.53597,12.80012,14.24851,13.39892,2024-04-30
RecursoComb,3C4V,GAS,20.20497,20.29398,20.20497,20.29398,20.11597,20.56101,21.27308,20.73903,18.95885,17.4457,17.71273,16.46661,15.13148,14.95346,15.3985,16.73363,17.4457,19.84894,20.73903,20.11597,21.27308,20.91704,19.93795,19.84894,2024-04-30
RecursoComb,3IJF,GAS,,,,,0.00038,0.00067,0.00023,,,,,,0.00064,0.00123,0.00054,,0.00153,,,,,,,,2024-04-30
RecursoComb,3JNR,GAS,0.22275,0.27225,0.297,0.25575,0.3135,0.22275,0.0495,0.00825,,,,,,,,0.00825,0.04125,0.05775,0.22275,0.033,,,,,2024-04-30
RecursoComb,3KL4,GAS,18.2532,8.6461,3.5022,1.6003,1.9885,15.2663,3.5368,1.9335,4.038,0.6111,0.2944,0.2368,4.5029,0.9665,0.2596,0.6109,20.6235,25.4818,13.6643,16.2417,5.1199,12.371,10.9323,12.4917,2024-04-30
RecursoComb,CGM1,BAGAZO,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,2024-04-30
RecursoComb,CGM1,CARBON,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,2024-04-30
RecursoComb,CIP1,BAGAZO,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,2024-04-30
RecursoComb,CIP1,CARBON,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,2024-04-30
RecursoComb,CIS1,BAGAZO,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,2024-04-30
RecursoComb,IRG1,BAGAZO,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,2024-04-30
RecursoComb,PNC1,BAGAZO,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,2024-04-30
RecursoComb,PNC1,CARBON,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,2024-04-30
RecursoComb,PPN1,GAS,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,2024-04-30
RecursoComb,RPL1,BAGAZO,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,2024-04-30
RecursoComb,TMB1,GAS,0.67602,,,,,,,,,,,,,,,,3.31634,14.32402,14.34953,14.34316,14.34316,14.34316,14.34316,14.22836,2024-04-30
RecursoComb,TPD1,GAS,1.37934,1.39497,1.4634,1.37819,1.45396,1.57207,1.6539,2.22794,2.2384,5.57304,5.53682,5.41883,5.67387,5.5724,5.53682,5.4497,5.33286,5.4916,5.50525,5.49861,5.40435,5.41921,5.51054,5.37278,2024-04-30
RecursoComb,2S6Q,BIOGAS,0.95195,5.28178,2.05744,0.96218,2.39522,5.80381,0.52204,,,,,,,,,,,,,,,,,0.02047,2024-05-01
RecursoComb,2S8G,CARBON,,,,,,,,,,,,,,,,,,,,,,,4.67003,13.0417,2024-05-01
RecursoComb,2S8I,GAS,34.4167,37.38365,41.53739,40.35061,39.75722,41.53739,36.79026,33.8233,55.77878,52.81183,53.40522,51.03165,46.87791,46.87791,34.4167,36.19687,51.03165,51.62504,52.21843,52.21843,52.81183,41.53739,31.44974,40.35061,2024-05-01
RecursoComb,2U8Y,GAS,125.99693,125.99987,124.51147,124.43883,124.45254,124.48035,124.54208,125.73124,126.01517,125.9676,125.93584,125.90982,125.79993,125.79578,125.82506,125.8595,125.90797,125.91677,125.85637,125.90197,125.92283,125.9521,125.96186,125.95503,2024-05-01
RecursoComb,2U91,GAS,123.68277,123.77237,123.05955,123.03532,123.04201,123.12314,123.23098,123.90222,123.86504,123.80139,123.76644,123.73066,123.65892,123.6586,123.6725,123.69903,123.757,123.77282,123.66957,123.70394,123.71542,123.72403,123.73455,123.73787,2024-05-01
RecursoComb,2U93,GAS,123.90139,123.89259,123.06867,123.13328,123.13117,123.16166,123.15796,123.85796,123.8077,123.7394,123.6901,121.43238,123.49673,123.46759,123.61421,123.59705,123.71287,123.78679,123.66957,123.73691,118.75986,122.80904,122.78123,122.67377,2024-05-01
