Id,Values_Activity,Values_Subactivity,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
CIIU,ACTIVIDADES FINANCIERAS Y DE SEGUROS,ACTIVIDADES DE LAS COOPERATIVAS FINANCIERAS,6424,53.42,55.62,54.71,53.16,54.57,55.76,55.82,90.21,101.21,102.28,100.6,100.79,110.9,112.83,115.79,114.06,117.45,103.58,85.76,69.06,55.15,55.16,54.92,54.84,2024-04-29
CIIU,ACTIVIDADES FINANCIERAS Y DE SEGUROS,"FIDEICOMISOS, FONDOS Y ENTIDADES FINANCIERAS SIMILARES",6431,573.84,548.28,630.76,744.98,795.09,898.73,1477.17,1607.84,1682.09,1723.24,1758.57,1775.11,1817.15,1772.3,1786.23,1758.42,1740.08,1422.4,1169.85,1012.8,885.27,723.56,636.1,585.42,2024-04-29
CIIU,ACTIVIDADES FINANCIERAS Y DE SEGUROS,ACTIVIDADES FINANCIERAS DE FONDOS DE EMPLEADOS Y OTRAS FORMAS ASOCIATIVAS DEL SECTOR SOLIDARIO,6492,140.92,143.62,148.12,146.09,144.45,158.96,213.0,386.9,479.6,459.82,464.88,486.35,413.69,460.7,510.17,500.22,475.72,353.7,281.62,259.32,246.34,223.5,186.45,163.94,2024-04-29
CIIU,ACTIVIDADES FINANCIERAS Y DE SEGUROS,SEGUROS GENERALES,6511,210.88,211.9,217.13,210.53,213.19,224.32,279.95,357.26,399.46,463.21,469.16,483.28,492.12,465.14,472.1,480.51,491.28,391.8,304.22,271.5,255.08,238.75,236.66,228.9,2024-04-29
CIIU,ACTIVIDADES FINANCIERAS Y DE SEGUROS,SEGUROS DE VIDA,6512,198.46,202.96,205.92,204.85,215.54,235.97,287.43,457.92,466.2,458.4,453.94,428.46,445.64,481.36,437.63,440.97,421.88,319.81,311.68,292.48,267.4,250.67,236.71,223.63,2024-04-29
CIIU,ACTIVIDADES FINANCIERAS Y DE SEGUROS,REASEGUROS,6513,107.29,106.22,104.82,105.95,107.09,114.33,143.02,175.88,184.2,190.63,184.13,184.71,186.24,191.3,188.46,188.16,164.74,157.45,144.93,132.63,127.69,123.38,121.94,123.87,2024-04-29
CIIU,ACTIVIDADES FINANCIERAS Y DE SEGUROS,ACTIVIDADES DE LAS CASAS DE CAMBIO,6614,30.7,31.81,31.41,31.81,31.78,32.36,39.46,119.0,133.21,132.14,134.46,129.74,130.38,130.32,137.29,137.98,145.17,80.58,57.52,35.28,32.83,32.99,33.24,32.56,2024-04-29
CIIU,ACTIVIDADES FINANCIERAS Y DE SEGUROS,OTRAS ACTIVIDADES AUXILIARES DE LAS ACTIVIDADES DE SERVICIOS FINANCIEROS,6619,88.51,89.66,88.79,90.02,89.36,100.46,122.09,153.24,180.77,181.0,180.91,176.78,186.66,174.98,171.0,174.51,168.81,160.59,138.82,125.74,114.59,106.2,99.2,101.17,2024-04-29
CIIU,ACTIVIDADES FINANCIERAS Y DE SEGUROS,ACTIVIDADES DE AGENTES Y CORREDORES DE SEGUROS,6621,12.82,12.87,13.24,12.91,12.6,19.7,44.28,70.94,97.61,98.37,106.8,107.73,104.22,102.71,108.51,107.81,93.27,40.76,24.97,22.9,15.77,13.35,13.34,13.78,2024-04-29
CIIU,ACTIVIDADES FINANCIERAS Y DE SEGUROS,ACTIVIDADES DE ADMINISTRACIÓN DE FONDOS,6630,804.34,805.33,758.59,756.34,756.11,838.5,1021.29,1238.41,1245.52,1204.33,1219.11,1235.1,1211.32,1326.48,1452.22,1409.79,1407.14,1371.16,1311.37,1204.1,1160.75,1138.7,1130.6,961.26,2024-04-29
CIIU,ACTIVIDADES INMOBILIARIAS,ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS,6810,11668.52,11096.75,10913.82,10777.88,10891.75,12157.16,15229.63,19776.97,24620.8,29227.57,33615.21,35223.41,35830.12,36058.1,36817.31,38091.81,38391.96,37148.95,34180.04,32013.75,26730.4,20009.63,16029.21,13490.24,2024-04-29
CIIU,ACTIVIDADES INMOBILIARIAS,ACTIVIDADES INMOBILIARIAS REALIZADAS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA,6820,11527.42,11202.15,11051.14,10992.81,11059.76,11668.64,13792.33,15989.87,16786.87,17521.96,20610.3,21193.02,21472.45,22208.14,22586.14,24082.29,24839.32,25291.48,24809.23,23355.14,19726.07,15753.74,13673.17,12975.23,2024-04-29
CIIU,"ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",ACTIVIDADES DE ADMINISTRACIÓN EMPRESARIAL,7010,2251.81,2206.94,2177.95,2215.93,2246.56,2728.78,2825.72,3231.78,3367.27,3824.29,4035.2,3858.6,3866.01,4297.71,4331.14,4319.04,4272.77,4194.98,3946.56,3957.13,3847.73,3607.02,2738.34,2376.53,2024-04-29
CIIU,"ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",ACTIVIDADES DE ARQUITECTURA E INGENIERÍA Y OTRAS ACTIVIDADES CONEXAS DE CONSULTORÍA TÉCNICA,7110,7291.99,7299.95,7275.52,7241.98,7289.53,7228.4,6910.77,7343.42,7305.78,7214.37,7181.21,7253.49,7013.02,7149.83,7184.34,7119.98,7246.13,7550.52,7443.41,7478.5,7623.96,7586.33,7261.8,7347.38,2024-04-29
CIIU,"ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS NATURALES Y LA INGENIERÍA,7210,97.06,90.56,99.22,95.89,95.13,95.99,110.0,140.69,163.67,164.27,170.64,188.16,185.0,178.58,214.53,212.08,204.83,177.69,142.68,127.17,124.67,124.17,121.95,120.13,2024-04-29
CIIU,"ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",PUBLICIDAD,7310,251.83,253.08,251.89,251.91,251.26,256.48,413.15,654.81,983.74,1058.65,1047.68,888.6,960.52,1053.82,1063.71,1068.48,732.29,443.43,403.78,413.91,438.03,449.4,445.26,412.14,2024-04-29
CIIU,"ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS","OTRAS ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS N.C.P.",7490,447.3,444.68,443.6,439.02,455.98,530.52,795.56,986.58,1141.64,1187.82,1239.49,1175.56,986.04,1121.84,1287.86,1312.84,1326.98,1140.96,1083.08,1021.08,878.48,663.37,528.53,499.87,2024-04-29
CIIU,ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,ACTIVIDADES LEGISLATIVAS DE LA ADMINISTRACIÓN PÚBLICA,8411,1941.03,1943.44,1942.23,1943.62,1937.05,1944.95,93.35,99.71,156.42,159.57,158.48,159.23,138.02,155.25,161.87,158.37,144.75,95.04,1931.62,1923.32,1914.43,1913.85,1911.74,1907.7,2024-04-29
