generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
MERILECTRICA,MERILECTRICA,Thermal,Nordeste,GASNACIO,2023,1154.1594311458907,8171448.772512905,612879.0865603993,164.0,19822680.648429547,23488080.0,44.6058040437525,0.8033741446332348,,
MERILECTRICA,MERILECTRICA,Thermal,Nordeste,GASNACIO,2024,1336.0413075792708,9459172.457661236,709461.5822557367,164.0,19822680.648429547,23488080.0,39.49723171486582,0.9299764085499991,,
MIEL I,MIEL I,Hidro,Surocciden,Water,2023,817.2456441961092,1135971.4454325917,0.0,396.0,47900161.566885956,17336880.0,81.21549926106604,0.23558808524633001,,
MIEL I,MIEL I,Hidro,Surocciden,Water,2024,817.2456441982449,1135971.44543556,0.0,396.0,47900161.566885956,17336880.0,81.21549926085743,0.2355880852469457,,
PAIPA 1,PAIPA 1,Thermal,Nordeste,CARBON,2023,67.57714449217679,567047.1195900434,78140.49962204364,36.0,9966240.326010633,5155920.0,232.16736314475338,0.2142857194703728,,
PAIPA 1,PAIPA 1,Thermal,Nordeste,CARBON,2024,247.78285848282533,2079172.7327682409,286515.1598979974,36.0,9966240.326010633,5155920.0,69.42099693297047,0.7857142899632968,,
PAIPA 2,PAIPA 2,Thermal,Nordeste,CARBON,2023,608.5255140967388,5106203.325971447,597445.2989784111,72.0,19932480.652021267,10311840.0,58.09209829182767,0.9648108734410494,,
PAIPA 2,PAIPA 2,Thermal,Nordeste,CARBON,2024,630.7200024970939,5292439.675742825,619235.663475626,72.0,19932480.652021267,10311840.0,56.34316366544572,1.0000000039591161,,
PAIPA 3,PAIPA 3,Thermal,Nordeste,CARBON,2023,416.0999970366964,3491540.025169299,442577.14721813635,70.0,19378800.633909564,10025400.0,79.05729606668983,0.6785714237389046,,
PAIPA 3,PAIPA 3,Thermal,Nordeste,CARBON,2024,613.2000011854135,5145427.452103333,652218.9597008434,70.0,19378800.633909564,10025400.0,56.343163762594514,1.0000000019331594,,
PAIPA 4,PAIPA 4,Thermal,Nordeste,CARBON,2023,1445.4000011270132,12128507.551682688,1250005.480994659,165.0,45678601.4942154,23631300.0,56.3431638179041,1.0000000007797238,,
PAIPA 4,PAIPA 4,Thermal,Nordeste,CARBON,2024,1445.4000021562206,12128507.56031888,1250005.4818847347,165.0,45678601.4942154,23631300.0,56.34316378375951,1.0000000014917811,,
PLAYAS,PLAYAS,Hidro,Antioquia,Water,2023,1787.4732510048716,2484587.818896771,0.0,207.0,25374060.830023497,9062460.0,20.65547477600807,0.9857461733201374,,
PLAYAS,PLAYAS,Hidro,Antioquia,Water,2024,1787.4732510006118,2484587.81889085,0.0,207.0,25374060.830023497,9062460.0,20.655474776053982,0.985746173317788,,
PORCE II,PORCE II,Hidro,Antioquia,Water,2023,2350.87602486522,3267717.6745626554,0.0,405.0,49681351.62515135,17730900.0,30.06537501430608,0.6626292420275156,,
PORCE II,PORCE II,Hidro,Antioquia,Water,2024,2350.876024869396,3267717.6745684603,0.0,405.0,49681351.62515135,17730900.0,30.065375014255146,0.6626292420286927,,
PORCE III,PORCE III,Hidro,Antioquia,Water,2023,5405.218525429262,7513253.750346674,0.0,700.0,85932002.81096439,30646000.0,22.957676174888086,0.8814772546362134,,
PORCE III,PORCE III,Hidro,Antioquia,Water,2024,5405.218525430116,7513253.750347859,0.0,700.0,85932002.81096439,30646000.0,22.95767617488468,0.8814772546363526,,
PRADO,PRADO,Hidro,Surocciden,Water,2023,388.5403477188214,540071.0833291617,0.0,51.0,6265350.204948979,2232780.0,23.261937508788407,0.8696847249503566,,
PRADO,PRADO,Hidro,Surocciden,Water,2024,388.5403481520691,540071.083931376,0.0,51.0,6265350.204948979,2232780.0,23.261937484399777,0.8696847259201115,,
PRADO4,PRADO4,Hidro,Surocciden,Water,2023,43.800001305337766,60882.00181441948,0.0,5.0,614700.0201077574,218900.0,20.42196336220587,1.0000000298022318,,
PRADO4,PRADO4,Hidro,Surocciden,Water,2024,43.80000115209811,60882.00160141635,0.0,5.0,614700.0201077574,218900.0,20.421963428791518,1.0000000263036095,,
PROELECTRIC1,PROELECTRIC1,Thermal,Caribe,GASNACIO,2023,1.1631780959799923e-06,0.008235300919538346,0.000567679880636077,45.0,5536350.181102298,6444900.0,10300443440.901665,2.9507308370877525e-09,,
PROELECTRIC1,PROELECTRIC1,Thermal,Caribe,GASNACIO,2024,1.1587042454642825e-06,0.00820362605788712,0.000565496453235304,45.0,5536350.181102298,6444900.0,10340214283.503506,2.9393816475501834e-09,,
PROELECTRIC2,PROELECTRIC2,Thermal,Caribe,GASNACIO,2023,1.343592851548952e-06,0.009512637388966579,0.0006397803547927715,45.0,5544450.181367261,6444900.0,8923350683.994825,3.408403986679228e-09,,
PROELECTRIC2,PROELECTRIC2,Thermal,Caribe,GASNACIO,2024,1.3416165911813973e-06,0.009498645465564294,0.0006388393163244146,45.0,5544450.181367261,6444900.0,8936495172.818602,3.4033906422663547e-09,,
RIOGRANDE 1,RIOGRANDE 1,Hidro,Antioquia,Water,2023,166.44000167532238,231351.6023286981,0.0,19.0,5271930.172452724,831820.0,38.062375096218894,1.0000000100656234,,
RIOGRANDE 1,RIOGRANDE 1,Hidro,Antioquia,Water,2024,166.44000163699258,231351.6022754197,0.0,19.0,5271930.172452724,831820.0,38.06237510466425,1.0000000098353314,,
SALTO II,SALTO II,Hidro,Oriental,Water,2023,274.29080706178956,381264.2218158875,0.0,35.0,4353300.142402961,1532300.0,22.847518775235915,0.8946210275987916,,
SALTO II,SALTO II,Hidro,Oriental,Water,2024,274.29080706269986,381264.22181715275,0.0,35.0,4353300.142402961,1532300.0,22.8475187751647,0.8946210276017607,,
