gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Thermal,Caribe,COMBUSTOLEO,2023,9.127091795986091e-07,0.008488195370267064,0.0009496071488888892,178.0,20395980.66718305,25493160.0,50277943622.58124,5.853401439116828e-10,0.0,0.0
Thermal,Caribe,COMBUSTOLEO,2024,9.732897231438988e-07,0.009051594425238257,0.0010122590317511871,178.0,20395980.66718305,25493160.0,47148489894.66833,6.241917571853026e-10,0.0,0.0
Thermal,Caribe,GASIMPOR,2023,2.278475170032908e-06,0.016131604203832986,0.0010905888694566106,835.0,95661453.12922928,119588700.0,94471142796.0183,3.1149689252083603e-10,0.0,0.0
Thermal,Caribe,GASIMPOR,2024,4.074059161383046e-06,0.029744346406104422,0.001930022306999518,887.0,101778213.32931766,127036140.0,56163728678.25145,5.243238407364423e-10,0.0,0.0
Thermal,Caribe,GASNACIO,2023,998.9029252856432,7072232.711022354,412935.8815618599,1526.0,288810279.44741637,218553720.0,515.0012269824239,0.07472478001442598,0.0,0.0
Thermal,Caribe,GASNACIO,2024,733.0221771862546,5189797.014478682,305538.1111101387,1526.0,288810279.44741637,218553720.0,699.2336827097928,0.05483507911469494,0.0,0.0
Thermal,Nordeste,CARBON,2023,5048.1622266854965,42359674.58193886,4565222.858661141,686.0,137854894.50943986,98248920.0,55.16135904257799,0.8400498932807313,0.0,0.0
Thermal,Nordeste,CARBON,2024,5814.1371304257955,48787052.74519464,5389921.716442923,686.0,137854894.50943986,98248920.0,48.999681442630624,0.9675135339579912,0.0,0.0
Thermal,Nordeste,GASNACIO,2023,2067.861888137476,14640462.168013329,1046149.0300179824,342.0,64869122.12196605,48981240.0,62.13704359419822,0.6902260034104634,0.0,0.0
Thermal,Nordeste,GASNACIO,2024,2319.21966057054,16420075.196839422,1178428.4768076127,342.0,64869122.12196605,48981240.0,56.16994350882584,0.7741260315931464,0.0,0.0
Thermal,Oriental,CARBON,2023,368.8703813210083,3095231.2176252636,397841.11589252745,226.0,28917000.94591837,32367720.0,174.53272321020856,0.1863207567184953,0.0,0.0
Thermal,Oriental,CARBON,2024,1739.485674446829,14596212.205702296,1922311.6447319658,226.0,28917000.94591837,32367720.0,43.62262608213283,0.8786346195734981,0.0,0.0
Thermal,Surocciden,ACPM,2023,7.159811572421352e-07,0.006658624762351857,0.0004165800667252883,520.0,136428304.46277398,74474400.0,294564601786.1726,1.5717886311076022e-10,0.0,0.0
Thermal,Surocciden,ACPM,2024,8.443142016099656e-07,0.00785212207497268,0.0004899012097564189,520.0,136428304.46277398,74474400.0,249791729273.85327,1.8535173024454808e-10,0.0,0.0
pv_solar,Antioquia,Solar,2023,190.73419338742093,190734.19338742094,0.0,114.71000000000001,13699815.748141471,1831918.7,82.43130590430253,0.18981178404169188,0.0,0.0
