GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_storage_efficiency
E_ParqueBeta,Eolica,Wind,Caribe,200,1,.,0.0,0,.,.,.,.
E_Camelia,Eolica,Wind,Caribe,200,1,.,0.0,0,.,.,.,.
E_CasaElec,Eolica,Wind,Caribe,200,1,.,0.0,0,.,.,.,.
E_Apoto,Eolica,Wind,Caribe,200,1,.,0.0,0,.,.,.,.
TermoCaribe3,Thermal,GASIMPOR,Caribe,200,0,8.597,5.53,0,0.0304,.,.,.
DST_Surocciden,pv_solar,Solar,Surocciden,200,1,.,0.0,0,.,.,.,.
DST_Caribe,pv_solar,Solar,Caribe,200,1,.,0.0,0,.,.,.,.
DST_Oriental,pv_solar,Solar,Oriental,200,1,.,0.0,0,.,.,.,.
DST_Antioquia,pv_solar,Solar,Antioquia,200,1,.,0.0,0,.,.,.,.
DST_Nordeste,pv_solar,Solar,Nordeste,200,1,.,0.0,0,.,.,.,.
