GENERATION_PROJECT,Values_Name,Values_Code
S_AutEncanto,AGPE EL ENCANTO,3HWK
S_Uruaco,URUACO,3HYG
T_AutCostayaco,AUTOG COSTAYACO,3IJF
S_CaracoliI,CARACOLI I,3INX
S_LaLoma,LATAM SOLAR LA LOMA,3DDT
S_ParqueUrra,PARQUE SOLAR URRA,
S_Tepuy,PARQUE SOLAR TEPUY,TPUY
S_LaMata,LA MATA,MATA
S_El_Paso,EL PASO,EPFV
S_Escobal6,ESCOBAL 6,
S_Union,PARQUE SOLAR LA UNION,3IZ6
S_Nabusimake,NABUSIMAKE,
S_Guayepo,GUAYEPO,GYPO
S_Sunnorte,SUNNORTE,3IQA
E_Windpeshi,WINDPLESHI,
E_ParqueAlph,FUTURA - PARQUE ALPHA,APHA
E_ParqueBeta,FUTURA - PARQUE BETA,BETA
E_Camelia,CAMELIAS,
E_CasaElec,FUTURA - CASA ELECTRICA,CELE
E_Apoto,FUTURA - APOTOLORRU,APLU
TermoCaribe3,TERMOCARIBE III 1,TCBE
DST_Surocciden,DST_Surocciden,
DST_Caribe,DST_Caribe,
DST_Oriental,DST_Oriental,
DST_Antioquia,DST_Antioquia,
DST_Nordeste,DST_Nordeste,
