MetricId,MetricUnits,MetricDescription
PrecEsca,COP/kWh,"Establecido por la CREG- y actualizado mensualmente con base en la variación de un índice de precios de combustibles, tiene una doble función. Por una parte indica a partir de qué momento las Obligaci"
PrecEscaMarg,COP/kWh,Precio Marginal de Escasez calculado de acuerdo con la Resolución CREG 140 del 2017
CapEfecNeta,kW,Máxima cantidad de potencia neta que puede suministrar una unidad de generación en condiciones normales de operación. Incluye las menores y cogeneradores
DemaSIN,kWh,"Demanda del SIN, la cual se calcula con base en la generacion neta de las plantas e incluye: hidraulicas, termicas, plantas menores, cogeneradores , demanda no atendida, limitacion del suministro e im"
AporEnerMediHist,kWh,"Caudal medio mensual histórico en energia para los rios del SIN, obtenido como el promedio de los valores de cada mes para todos años con información disponibles "
CapaUtilDiarEner,kWh,"Corresponde al Volumen Útil del Embalse, que se define como el volumen almacenado entre el nivel Mínimo Técnico y el Nivel Máximo Físico"
FAZNI,COP,"Valor recaudado por concepto del Fondo de apoyo a zonas no interconectadas. Hace parte de los fondos para atender zonas especiales deprimidas y zonas no interconectadas, con recursos del mismo sector"
ObligEnerFirme,kWh,La OEF es un producto diseñado para garantizar la confiabilidad en el suministro de energía en el largo plazo a precios eficientes. Prorrata de la Energía Firme declarada para cada una de las Plantas 
DemaNoAtenProg,kWh,Es la demanda no atendida de energía del SIN por desconexiones forzadas o programadas
DemaNoAtenNoProg,kWh,Es la demanda no atendida de energía del SIN por desconexiones forzadas o programadas
DemaNoAtenProg,kWh,Es la demanda no atendida de energía del SIN por desconexiones forzadas o programadas
DemaNoAtenNoProg,kWh,Es la demanda no atendida de energía del SIN por desconexiones forzadas o programadas
VoluUtilDiarEner,kWh,"Volumen almacenado por encima del Nivel Minimo Tecnico, reportado diariamente por los agentes. En % corresponde a la relacion entre el Volumen Util Diario y la Capacidad Util del Embalse"
CapaUtilDiarEner,kWh,"Corresponde al Volumen Útil del Embalse, que se define como el volumen almacenado entre el nivel Mínimo Técnico y el Nivel Máximo Físico"
AporEner,kWh,Caudales en energia de los rios que aportan agua a algun embalse del SIN
AporEnerMediHist,kWh,"Caudal medio mensual histórico en energia para los rios del SIN, obtenido como el promedio de los valores de cada mes para todos años con información disponibles "
DDVContratada,kWh,Valor total diario contratado por cada recurso de generación bajo el esquema de Demanda Desconectable Voluntaria.
DemaMaxPot,kWh,"Es la máxima demanda de potencia, expresada en MW, requerida por el SIN en un instante de tiempo. Conocida también como demanda pico."
ComContRespEner,COP,Energia comprada en la Bolsa de Energia a aquellos generadores que brindan estabilidad al Sistema
PrecCargConf,USD/kWh, Precio del Cargo por confiabilidad al que se remunera la Obligación de Energía Firme
VentContRespEner,COP,Ventas de contratos Respaldo
ComContRespEner,COP,Energia comprada en la Bolsa de Energia a aquellos generadores que brindan estabilidad al Sistema
VentContRespEner,COP,Ventas de contratos Respaldo
VoluUtilDiarMasa,m3,"Definida como el volumen almacenado en el embalse por encima del Nivel Mínimo Técnico, inició su declaración diaria por parte de los agentes hidráulicos del mercado desde julio 11 de 2004 (Acuerdo 294"
VertMasa,m3,Los vertimientos estan relacionados con la cantidad de agua que debe ser evacuada en los embalses cuando la reserva sobrepasa la capacidad maxima de almacenamiento.
AporCaudal,m3/s,"Valores de la hidrologia de los caudales de los rios del SIN, en metros cubicos por segundo"
AporCaudalMediHist,m3/s,"Caudal medio mensual histórico para los rios del SIN, obtenido como el promedio de los valores de cada mes para todos años con información disponibles"
DescMasa,Miles m3,"Agua descargada del embalse por compuertas de fondo o cualquier otro sistema, expresado en miles m3."
VertEner,kWh,Los vertimientos estan relacionados con la cantidad de agua que debe ser evacuada en los embalses cuando la reserva sobrepasa la capacidad maxima de almacenamiento.
VertEner,kWh,Los vertimientos estan relacionados con la cantidad de agua que debe ser evacuada en los embalses cuando la reserva sobrepasa la capacidad maxima de almacenamiento.
CapaUtilDiarMasa,m3,"Corresponde al Volumen Útil del Embalse, que se define como el volumen almacenado entre el nivel Mínimo Técnico y el Nivel Máximo Físico"
CapaUtilDiarMasa,m3,"Corresponde al Volumen Útil del Embalse, que se define como el volumen almacenado entre el nivel Mínimo Técnico y el Nivel Máximo Físico"
VolTurbMasa,Miles m3,"Agua turbinada por la planta expresada en miles m3, incluye caudal ambiental y caudal de acueducto"
VolTurbMasa,Miles m3,"Agua turbinada por la planta expresada en miles m3, incluye caudal ambiental y caudal de acueducto"
PrecOferIdeal,COP/kWh,Es el precio de la energia de una recurso de generación para cada una de las 24 horas de un dia. Difiere del precio de oferta de despacho en que incluye el CERE en lugar del CEE
PorcVoluUtilDiar,%,Porcentaje de volumen almacenado en el embalse por encima del Nivel Mínimo Técnico
PorcVoluUtilDiar,%,Porcentaje de volumen almacenado en el embalse por encima del Nivel Mínimo Técnico
PorcApor,%,[Aportes Caudal / Media Histórica]*100
PorcApor,%,[Aportes Caudal / Media Histórica]*100
PPPrecBolsNaci,COP/kWh,El Precio de Bolsa ponderado  se calcula como un ponderado de las ventas  en bolsa Nacional en el periodo (Valor/Magnitud) a partir de la versión tx2. Para la versión tx1 se pondera con la generación.
PrecEscaPon,COP/kWh,Precio Escasez Ponderado del Sistema calculado de acuerdo a la Resolución CREG 140 de 2017
IrrPanel,W/m2,Irradiación solar en la superficie de los paneles representativa de  la planta solar fotovoltaica.
IrrGlobal,W/m2,Irradiación solar en superficie horizontal representativa de la planta solar fotovoltaica.
TempPanel,,
TempAmbSolar,°C,Temperatura del aire representativa de la planta solar fotovoltaica.
FAER,COP,Fondo de Apoyo Financiero para la Energización de las Zonas Rurales Interconectadas -FAER-
PRONE,COP,"Hace parte de los fondos especiales para atender zonas especiales deprimidas y zonas no interconectadas, con recursos del mismo sector eléctrico (FAZNI, FAER, FOES, PRONE)."
MC,COP/kWh,"Costo Promedio ponderado por energía, expresado en COP/kWh, de todos los contratos bilaterales liquidados en el Mercado de Energía Mayorista con destino al mercado regulado. Mediante la Resolución CRE"
CERE,COP/kWh,"Costo Equivalente Real de Energia del Cargo por Capacidad se usa para efectos de cotización en la Bolsa de Energía, es una señal de referencia para los agentes generadores del mercado. El propósito de"
CEE,COP/kWh,"Costo Equivalente de Energia del Cargo por Capacidad se usa para efectos de cotización en la Bolsa de Energía, es una señal de referencia para los agentes generadores del mercado. El propósito de la s"
CargoUsoSTN,COP,Valor que recibe el agente transmisor por uso del sistema de transmisión nacional.
CargoUsoSTR,COP,Distribución de los cargos por uso del sistema de transmisión regional de los operadores de red
CargMaxTPrima,COP/kWh,Termino usado enla metodología para el cálculo y aplicación de los Cargos por Uso del Sistema de Transmisión Nacional (STN)
CargMinTPrima,COP/kWh,Termino usado enla metodología para el cálculo y aplicación de los Cargos por Uso del Sistema de Transmisión Nacional (STN)
CargMedTPrima,COP/kWh,Termino usado enla metodología para el cálculo y aplicación de los Cargos por Uso del Sistema de Transmisión Nacional (STN)
EscDemUPMEAlto,kWh,proyecciones de demanda de energía realizada por la UPME 
EscDemUPMEMedio,kWh,proyecciones de demanda de energía realizada por la UPME
EscDemUPMEBajo,kWh,Generación neta de cada una de las plantas en sus puntos de frontera. Incluye las importaciones Internacionales
PrecFAZNI,COP/kWh,FAZNI - Fondo de apoyo a zonas no interconectadas
ListadoRecursos,,Listado de recursos y unidades que pertenecen a un agente generador
ListadoRecursos,,Listado de recursos con sus atributos y que se encuentran en operación comercial  y pruebas conectados al Sistema Interconectado Nacional SIN
ListadoAgentes,,Listado de Agentes registrados ante el ASIC con la actividad que desarrollan en el mercado
ListadoRios,,Listado de ríos que se encuentran registrados ante el CND y que cuentan con punto de medida
ListadoEmbalses,,Listado de embalses que se encuentran registrados ante el CND y que son reportados por algún recurso del SIN
ListadoMetricas,,Listado de métricas disponibles en la API XM con los respectivos atributos de consulta
ListadoAGPE,kW,Listado de Autogeneradores a Pequeña Escala AGPE con reporte y sin reporte al ASIC.
